session_test_id,age,headphones,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_1,observed,57,190367,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_1,hidden_ref,100,190367,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_2,wpe,42,68148,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_2,hidden_ref,100,68148,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_2,reference,92,68148,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_2,observed,24,68148,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_2,dil_cr1,39,68148,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_2,dil_oracle,60,68148,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_2,buddy,5,68148,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_2,hidden_ref,100,71109,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_2,observed,24,71109,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_2,dil_cr1,30,71109,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_2,dil_oracle,46,71109,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_2,buddy,59,71109,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_2,reference,100,71109,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_2,wpe,32,71109,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_1,hidden_ref,100,87550,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_1,observed,12,87550,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_1,buddy,65,87550,
